"A","B","C"
"Jarvis AlgorithmAll Hull Points","1020","0.5556"
"Jarvis AlgorithmAll Hull Points","1030","0.5477"
"Jarvis AlgorithmAll Hull Points","1040","0.5766"
"Jarvis AlgorithmAll Hull Points","1050","0.5702"
"Jarvis AlgorithmAll Hull Points","1060","0.5979"
"Jarvis AlgorithmAll Hull Points","1070","0.6047"
"Jarvis AlgorithmAll Hull Points","1080","0.6187"
"Jarvis AlgorithmAll Hull Points","1090","0.6379"
"Jarvis AlgorithmAll Hull Points","1100","0.6316"
"Jarvis AlgorithmAll Hull Points","1110","0.6515"
"Jarvis AlgorithmAll Hull Points","1120","0.6586"
"Jarvis AlgorithmAll Hull Points","1130","0.6593"
"Jarvis AlgorithmAll Hull Points","1140","0.6844"
"Jarvis AlgorithmAll Hull Points","1150","0.6958"
"Jarvis AlgorithmAll Hull Points","1160","0.6932"
"Jarvis AlgorithmAll Hull Points","1170","0.7285"
"Jarvis AlgorithmAll Hull Points","1180","0.7253"
"Jarvis AlgorithmAll Hull Points","1190","0.7321"
"Jarvis AlgorithmAll Hull Points","1200","0.7546"
"Jarvis AlgorithmAll Hull Points","1210","0.7718"
"Jarvis AlgorithmAll Hull Points","1220","0.7955"
"Jarvis AlgorithmAll Hull Points","1230","0.7804"
"Jarvis AlgorithmAll Hull Points","1240","0.8188"
"Jarvis AlgorithmAll Hull Points","1250","0.8179"
"Jarvis AlgorithmAll Hull Points","1260","0.8197"
"Jarvis AlgorithmAll Hull Points","1270","0.8442"
"Jarvis AlgorithmAll Hull Points","1280","0.8547"
"Jarvis AlgorithmAll Hull Points","1290","0.8644"
"Jarvis AlgorithmAll Hull Points","1300","0.9077"
"Jarvis AlgorithmAll Hull Points","1310","0.891"
"Jarvis AlgorithmAll Hull Points","1320","0.9568"
"Jarvis AlgorithmAll Hull Points","1330","0.922"
"Jarvis AlgorithmAll Hull Points","1340","0.951"
"Jarvis AlgorithmAll Hull Points","1350","0.9679"
"Jarvis AlgorithmAll Hull Points","1360","0.9655"
"Jarvis AlgorithmAll Hull Points","1370","0.9726"
"Jarvis AlgorithmAll Hull Points","1380","0.9931"
"Jarvis AlgorithmAll Hull Points","1390","1.0089"
"Jarvis AlgorithmAll Hull Points","1400","1.0374"
"Jarvis AlgorithmAll Hull Points","1410","1.027"
"Jarvis AlgorithmAll Hull Points","1420","1.0624"
"Jarvis AlgorithmAll Hull Points","1430","1.0594"
"Jarvis AlgorithmAll Hull Points","1440","1.0878"
"Jarvis AlgorithmAll Hull Points","1450","1.116"
"Jarvis AlgorithmAll Hull Points","1460","1.1232"
"Jarvis AlgorithmAll Hull Points","1470","1.1437"
"Jarvis AlgorithmAll Hull Points","1480","1.1437"
"Jarvis AlgorithmAll Hull Points","1490","1.1638"
"Jarvis AlgorithmAll Hull Points","1500","1.1692"
"Jarvis AlgorithmAll Hull Points","1510","1.1855"
"Jarvis AlgorithmAll Hull Points","1520","1.2044"
"Jarvis AlgorithmAll Hull Points","1530","1.2308"
"Jarvis AlgorithmAll Hull Points","1540","1.2436"
"Jarvis AlgorithmAll Hull Points","1550","1.2517"
"Jarvis AlgorithmAll Hull Points","1560","1.254"
"Jarvis AlgorithmAll Hull Points","1570","1.2894"
"Jarvis AlgorithmAll Hull Points","1580","1.3059"
"Jarvis AlgorithmAll Hull Points","1590","1.3249"
"Jarvis AlgorithmAll Hull Points","1600","1.3306"
"Jarvis AlgorithmAll Hull Points","1610","1.4001"
"Jarvis AlgorithmAll Hull Points","1620","1.3931"
"Jarvis AlgorithmAll Hull Points","1630","1.3831"
"Jarvis AlgorithmAll Hull Points","1640","1.3897"
"Jarvis AlgorithmAll Hull Points","1650","1.4254"
"Jarvis AlgorithmAll Hull Points","1660","1.4408"
"Jarvis AlgorithmAll Hull Points","1670","1.4611"
"Jarvis AlgorithmAll Hull Points","1680","1.4791"
"Jarvis AlgorithmAll Hull Points","1690","1.4892"
"Jarvis AlgorithmAll Hull Points","1700","1.4944"
"Jarvis AlgorithmAll Hull Points","1710","1.5294"
"Jarvis AlgorithmAll Hull Points","1720","1.5506"
"Jarvis AlgorithmAll Hull Points","1730","1.5554"
"Jarvis AlgorithmAll Hull Points","1740","1.5903"
"Jarvis AlgorithmAll Hull Points","1750","1.5968"
"Jarvis AlgorithmAll Hull Points","1760","1.6165"
"Jarvis AlgorithmAll Hull Points","1770","1.6133"
"Jarvis AlgorithmAll Hull Points","1780","1.6622"
"Jarvis AlgorithmAll Hull Points","1790","1.728"
"Jarvis AlgorithmAll Hull Points","1800","1.7"
"Jarvis AlgorithmAll Hull Points","1810","1.7276"
"Jarvis AlgorithmAll Hull Points","1820","1.7048"
"Jarvis AlgorithmAll Hull Points","1830","1.7567"
"Jarvis AlgorithmAll Hull Points","1840","1.7535"
"Jarvis AlgorithmAll Hull Points","1850","1.8061"
"Jarvis AlgorithmAll Hull Points","1860","1.8204"
"Jarvis AlgorithmAll Hull Points","1870","1.8259"
"Jarvis AlgorithmAll Hull Points","1880","1.8674"
"Jarvis AlgorithmAll Hull Points","1890","1.8592"
"Jarvis AlgorithmAll Hull Points","1900","1.8745"
"Jarvis AlgorithmAll Hull Points","1910","1.8899"
"Jarvis AlgorithmAll Hull Points","1920","2.1866"
"Jarvis AlgorithmAll Hull Points","1930","2.0251"
"Jarvis AlgorithmAll Hull Points","1940","1.9672"
"Jarvis AlgorithmAll Hull Points","1950","1.9802"
"Jarvis AlgorithmAll Hull Points","1960","1.9826"
"Jarvis AlgorithmAll Hull Points","1970","2.0365"
"Jarvis AlgorithmAll Hull Points","1980","2.0318"
"Jarvis AlgorithmAll Hull Points","1990","2.0716"
"Jarvis AlgorithmAll Hull Points","2000","2.0851"
"Jarvis AlgorithmAll Hull Points","2010","2.0989"
"Jarvis AlgorithmAll Hull Points","2020","2.1125"
"Jarvis AlgorithmAll Hull Points","2030","2.123"
"Jarvis AlgorithmAll Hull Points","2040","2.1631"
"Jarvis AlgorithmAll Hull Points","2050","2.1759"
"Jarvis AlgorithmAll Hull Points","2060","2.1985"
"Jarvis AlgorithmAll Hull Points","2070","2.2268"
"Jarvis AlgorithmAll Hull Points","2080","2.2518"
"Jarvis AlgorithmAll Hull Points","2090","2.3319"
"Jarvis AlgorithmAll Hull Points","2100","2.3133"
"Jarvis AlgorithmAll Hull Points","2110","2.3082"
"Jarvis AlgorithmAll Hull Points","2120","2.3371"
"Jarvis AlgorithmAll Hull Points","2130","2.3466"
"Jarvis AlgorithmAll Hull Points","2140","2.3967"
"Jarvis AlgorithmAll Hull Points","2150","2.405"
"Jarvis AlgorithmAll Hull Points","2160","2.4177"
"Jarvis AlgorithmAll Hull Points","2170","2.4998"
"Jarvis AlgorithmAll Hull Points","2180","2.4713"
"Jarvis AlgorithmAll Hull Points","2190","2.5123"
"Jarvis AlgorithmAll Hull Points","2200","2.494"
"Jarvis AlgorithmAll Hull Points","2210","2.5246"
"Jarvis AlgorithmAll Hull Points","2220","2.5637"
"Jarvis AlgorithmAll Hull Points","2230","2.5976"
"Jarvis AlgorithmAll Hull Points","2240","2.6473"
"Jarvis AlgorithmAll Hull Points","2250","2.6301"
"Jarvis AlgorithmAll Hull Points","2260","2.6484"
"Jarvis AlgorithmAll Hull Points","2270","2.6645"
"Jarvis AlgorithmAll Hull Points","2280","2.7225"
"Jarvis AlgorithmAll Hull Points","2290","2.7338"
"Jarvis AlgorithmAll Hull Points","2300","2.74"
"Jarvis AlgorithmAll Hull Points","2310","2.7688"
"Jarvis AlgorithmAll Hull Points","2320","2.8123"
"Jarvis AlgorithmAll Hull Points","2330","2.8485"
"Jarvis AlgorithmAll Hull Points","2340","2.8746"
"Jarvis AlgorithmAll Hull Points","2350","2.8794"
"Jarvis AlgorithmAll Hull Points","2360","2.8597"
"Jarvis AlgorithmAll Hull Points","2370","2.9055"
"Jarvis AlgorithmAll Hull Points","2380","2.9267"
"Jarvis AlgorithmAll Hull Points","2390","2.9754"
"Jarvis AlgorithmAll Hull Points","2400","3.349"
"Jarvis AlgorithmAll Hull Points","2410","3.0548"
"Jarvis AlgorithmAll Hull Points","2420","3.0457"
"Jarvis AlgorithmAll Hull Points","2430","3.0767"
"Jarvis AlgorithmAll Hull Points","2440","3.1155"
"Jarvis AlgorithmAll Hull Points","2450","3.1138"
"Jarvis AlgorithmAll Hull Points","2460","3.1083"
"Jarvis AlgorithmAll Hull Points","2470","3.1855"
