"A","B","C","D"
"Jarvis Algorithm Random","6450","0.0922",""
"Jarvis Algorithm Random","6460","0.0786",""
"Jarvis Algorithm Random","6470","0.0855",""
"Jarvis Algorithm Random","6480","0.0885",""
"Jarvis Algorithm Random","6490","0.0956",""
"Jarvis Algorithm Random","6500","0.104",""
"Jarvis Algorithm Random","6510","0.0938",""
"Jarvis Algorithm Random","6520","0.0735",""
"Jarvis Algorithm Random","6530","0.09",""
"Jarvis Algorithm Random","6540","0.1497",""
"Jarvis Algorithm Random","6550","0.0892",""
"Jarvis Algorithm Random","6560","0.1029",""
"Jarvis Algorithm Random","6570","0.1043",""
"Jarvis Algorithm Random","6580","0.1013",""
"Jarvis Algorithm Random","6590","0.0794",""
"Jarvis Algorithm Random","6600","0.078",""
"Jarvis Algorithm Random","6610","0.1649",""
"Jarvis Algorithm Random","6620","0.1453",""
"Jarvis Algorithm Random","6630","0.1062",""
"Jarvis Algorithm Random","6640","0.0712",""
"Jarvis Algorithm Random","6650","0.0873",""
"Jarvis Algorithm Random","6660","0.0721",""
"Jarvis Algorithm Random","6670","0.0668",""
"Jarvis Algorithm Random","6680","0.0889",""
"Jarvis Algorithm Random","6690","0.0762",""
"Jarvis Algorithm Random","6700","0.0826",""
"Jarvis Algorithm Random","6710","0.0765",""
"Jarvis Algorithm Random","6720","0.0897",""
"Jarvis Algorithm Random","6730","0.0808",""
"Jarvis Algorithm Random","6740","0.0736",""
"Jarvis Algorithm Random","6750","0.0738",""
"Jarvis Algorithm Random","6760","0.0672",""
"Jarvis Algorithm Random","6770","0.0784",""
"Jarvis Algorithm Random","6780","0.0811",""
"Jarvis Algorithm Random","6790","0.0824",""
"Jarvis Algorithm Random","6800","0.1259",""
"Jarvis Algorithm Random","6810","0.1108",""
"Jarvis Algorithm Random","6820","0.1069",""
"Jarvis Algorithm Random","6830","0.0972",""
"Jarvis Algorithm Random","6840","0.1028",""
"Jarvis Algorithm Random","6850","0.1176",""
"Jarvis Algorithm Random","6860","0.0838",""
"Jarvis Algorithm Random","6870","0.0863",""
"Jarvis Algorithm Random","6880","0.0868",""
"Jarvis Algorithm Random","6890","0.1078",""
"Jarvis Algorithm Random","6900","0.0987",""
"Jarvis Algorithm Random","6910","0.0939",""
"Jarvis Algorithm Random","6920","0.0776",""
"Jarvis Algorithm Random","6930","0.0682",""
"Jarvis Algorithm Random","6940","0.1066",""
"Jarvis Algorithm Random","6950","0.0846",""
"Jarvis Algorithm Random","6960","0.1402",""
"Jarvis Algorithm Random","6970","0.1342",""
"Jarvis Algorithm Random","6980","0.0681",""
"Jarvis Algorithm Random","6990","0.0875",""
"Jarvis Algorithm Random","7000","0.0974",""
"Jarvis Algorithm Random","7010","0.082",""
"Jarvis Algorithm Random","7020","0.0753",""
"Jarvis Algorithm Random","7030","0.086",""
"Jarvis Algorithm Random","7040","0.08",""
"Jarvis Algorithm Random","7050","0.0865",""
"Jarvis Algorithm Random","7060","0.0965",""
"Jarvis Algorithm Random","7070","0.076",""
"Jarvis Algorithm Random","7080","0.0776",""
"Jarvis Algorithm Random","7090","0.0597",""
"Jarvis Algorithm Random","7100","0.0727",""
"Jarvis Algorithm Random","7110","0.0798",""
"Jarvis Algorithm Random","7120","0.0749",""
"Jarvis Algorithm Random","7130","0.0834",""
"Jarvis Algorithm Random","7140","0.0679",""
"Jarvis Algorithm Random","7150","0.0951",""
"Jarvis Algorithm Random","7160","0.0873",""
"Jarvis Algorithm Random","7170","0.0749",""
"Jarvis Algorithm Random","7180","0.138",""
"Jarvis Algorithm Random","7190","0.0952",""
"Jarvis Algorithm Random","7200","0.0903",""
"Jarvis Algorithm Random","7210","0.0707",""
"Jarvis Algorithm Random","7220","0.093",""
"Jarvis Algorithm Random","7230","0.0861",""
"Jarvis Algorithm Random","7240","0.0843",""
"Jarvis Algorithm Random","7250","0.0921",""
"Jarvis Algorithm Random","7260","0.084",""
"Jarvis Algorithm Random","7270","0.0989",""
"Jarvis Algorithm Random","7280","0.0721",""
"Jarvis Algorithm Random","7290","0.0918",""
"Jarvis Algorithm Random","7300","0.0939",""
"Jarvis Algorithm Random","7310","0.0902",""
"Jarvis Algorithm Random","7320","0.1015",""
"Jarvis Algorithm Random","7330","0.1139",""
"Jarvis Algorithm Random","7340","0.0689",""
"Jarvis Algorithm Random","7350","0.0833",""
"Jarvis Algorithm Random","7360","0.1265",""
"Jarvis Algorithm Random","7370","0.0827",""
"Jarvis Algorithm Random","7380","0.0741",""
"Jarvis Algorithm Random","7390","0.1059",""
"Jarvis Algorithm Random","7400","0.1033",""
"Jarvis Algorithm Random","7410","0.088",""
"Jarvis Algorithm Random","7420","0.1295",""
"Jarvis Algorithm Random","7430","0.1489",""
"Jarvis Algorithm Random","7440","0.105",""
"Jarvis Algorithm Random","7450","0.084",""
"Jarvis Algorithm Random","7460","0.0743",""
"Jarvis Algorithm Random","7470","0.099",""
"Jarvis Algorithm Random","7480","0.0743",""
"Jarvis Algorithm Random","7490","0.0924",""
"Jarvis Algorithm Random","7500","0.0784",""
"Jarvis Algorithm Random","7510","0.1065",""
"Jarvis Algorithm Random","7520","0.0897",""
"Jarvis Algorithm Random","7530","0.1097",""
"Jarvis Algorithm Random","7540","0.1039",""
"Jarvis Algorithm Random","7550","0.1008",""
"Jarvis Algorithm Random","7560","0.091",""
"Jarvis Algorithm Random","7570","0.1422",""
"Jarvis Algorithm Random","7580","0.2028",""
"Jarvis Algorithm Random","7590","0.1233",""
"Jarvis Algorithm Random","7600","0.0825",""
"Jarvis Algorithm Random","7610","0.0937",""
"Jarvis Algorithm Random","7620","0.1067",""
"Jarvis Algorithm Random","7630","0.0788",""
"Jarvis Algorithm Random","7640","0.0863",""
"Jarvis Algorithm Random","7650","0.0836",""
"Jarvis Algorithm Random","7660","0.0945",""
"Jarvis Algorithm Random","7670","0.1058",""
"Jarvis Algorithm Random","7680","0.0769",""
"Jarvis Algorithm Random","7690","0.1007",""
"Jarvis Algorithm Random","7700","0.0714",""
"Jarvis Algorithm Random","7710","0.0721",""
"Jarvis Algorithm Random","7720","0.1049",""
"Jarvis Algorithm Random","7730","0.0822",""
"Jarvis Algorithm Random","7740","0.0718",""
"Jarvis Algorithm Random","7750","0.1114",""
"Jarvis Algorithm Random","7760","0.0851",""
"Jarvis Algorithm Random","7770","0.1061",""
"Jarvis Algorithm Random","7780","0.1002",""
"Jarvis Algorithm Random","7790","0.1263",""
"Jarvis Algorithm Random","7800","0.0987",""
"Jarvis Algorithm Random","7810","0.0994",""
"Jarvis Algorithm Random","7820","0.0826",""
"Jarvis Algorithm Random","7830","0.1032",""
"Jarvis Algorithm Random","7840","0.0851",""
"Jarvis Algorithm Random","7850","0.0898",""
"Jarvis Algorithm Random","7860","0.118",""
"Jarvis Algorithm Random","7870","0.0869",""
"Jarvis Algorithm Random","7880","0.1158",""
"Jarvis Algorithm Random","7890","0.1077",""
"Jarvis Algorithm Random","7900","0.1122",""
"Jarvis Algorithm Random","7910","0.0962",""
"Jarvis Algorithm Random","7920","0.0906",""
"Jarvis Algorithm Random","7930","0.1146",""
"Jarvis Algorithm Random","7940","0.0895",""
"Jarvis Algorithm Random","7950","0.0826",""
"Jarvis Algorithm Random","7960","0.0886",""
"Jarvis Algorithm Random","7970","0.1273",""
"Jarvis Algorithm Random","7980","0.1068",""
"Jarvis Algorithm Random","7990","0.1312",""
"Jarvis Algorithm Random","8000","0.1005",""
"Jarvis Algorithm Random","8010","0.0892",""
"Jarvis Algorithm Random","8020","0.1156",""
"Jarvis Algorithm Random","8030","0.0876",""
"Jarvis Algorithm Random","8040","0.0823",""
"Jarvis Algorithm Random","8050","0.0966",""
"Jarvis Algorithm Random","8060","0.1175",""
"Jarvis Algorithm Random","8070","0.1111",""
"Jarvis Algorithm Random","8080","0.0885",""
"Jarvis Algorithm Random","8090","0.0932",""
"Jarvis Algorithm Random","8100","0.0957",""
"Jarvis Algorithm Random","8110","0.0918",""
"Jarvis Algorithm Random","8120","0.0956",""
"Jarvis Algorithm Random","8130","0.1208",""
"Jarvis Algorithm Random","8140","0.0801",""
"Jarvis Algorithm Random","8150","0.1048",""
"Jarvis Algorithm Random","8160","0.1154",""
"Jarvis Algorithm Random","8170","0.1044",""
"Jarvis Algorithm Random","8180","0.1116",""
"Jarvis Algorithm Random","8190","0.1131",""
"Jarvis Algorithm Random","8200","0.1052",""
"Jarvis Algorithm Random","8210","0.0918",""
"Jarvis Algorithm Random","8220","0.1204",""
"Jarvis Algorithm Random","8230","0.1255",""
"Jarvis Algorithm Random","8240","0.1068",""
"Jarvis Algorithm Random","8250","0.1094",""
"Jarvis Algorithm Random","8260","0.1297",""
"Jarvis Algorithm Random","8270","0.0988",""
"Jarvis Algorithm Random","8280","0.1065",""
"Jarvis Algorithm Random","8290","0.0974",""
"Jarvis Algorithm Random","8300","0.1288",""
"Jarvis Algorithm Random","8310","0.1087",""
"Jarvis Algorithm Random","8320","0.1162",""
"Jarvis Algorithm Random","8330","0.11",""
"Jarvis Algorithm Random","8340","0.1494",""
"Jarvis Algorithm Random","8350","0.0947",""
"Jarvis Algorithm Random","8360","0.1812",""
"Jarvis Algorithm Random","8370","0.1067",""
"Jarvis Algorithm Random","8380","0.1226",""
"Jarvis Algorithm Random","8390","0.093",""
"Jarvis Algorithm Random","8400","0.0865",""
"Jarvis Algorithm Random","8410","0.1021",""
"Jarvis Algorithm Random","8420","0.1736",""
"Jarvis Algorithm Random","8430","0.1145",""
"Jarvis Algorithm Random","8440","0.0923",""
"Jarvis Algorithm Random","8450","0.1041",""
"Jarvis Algorithm Random","8460","0.092",""
"Jarvis Algorithm Random","8470","0.1251",""
"Jarvis Algorithm Random","8480","0.1242",""
"Jarvis Algorithm Random","8490","0.1248",""
"Jarvis Algorithm Random","8500","0.1371",""
"Jarvis Algorithm Random","8510","0.1606",""
"Jarvis Algorithm Random","8520","0.1312",""
"Jarvis Algorithm Random","8530","0.1555",""
"Jarvis Algorithm Random","8540","0.1561",""
"Jarvis Algorithm Random","8550","0.1171",""
"Jarvis Algorithm Random","8560","0.1244",""
"Jarvis Algorithm Random","8570","0.1726",""
"Jarvis Algorithm Random","8580","0.1296",""
"Jarvis Algorithm Random","8590","0.097",""
"Jarvis Algorithm Random","8600","0.0887",""
"Jarvis Algorithm Random","8610","0.0883",""
"Jarvis Algorithm Random","8620","0.0997",""
"Jarvis Algorithm Random","8630","0.1273",""
"Jarvis Algorithm Random","8640","0.1011",""
"Jarvis Algorithm Random","8650","0.0812",""
"Jarvis Algorithm Random","8660","0.182",""
"Jarvis Algorithm Random","8670","0.0879",""
"Jarvis Algorithm Random","8680","0.1028",""
"Jarvis Algorithm Random","8690","0.0915",""
"Jarvis Algorithm Random","8700","0.1153",""
"Jarvis Algorithm Random","8710","0.0825",""
"Jarvis Algorithm Random","8720","0.1237",""
"Jarvis Algorithm Random","8730","0.1031",""
"Jarvis Algorithm Random","8740","0.1006",""
"Jarvis Algorithm Random","8750","0.1846",""
"Jarvis Algorithm Random","8760","0.1492",""
"Jarvis Algorithm Random","8770","0.131",""
"Jarvis Algorithm Random","8780","0.1595",""
"Jarvis Algorithm Random","8790","0.1277",""
"Jarvis Algorithm Random","8800","0.1232",""
"Jarvis Algorithm Random","8810","0.0935",""
"Jarvis Algorithm Random","8820","0.1781",""
"Jarvis Algorithm Random","8830","0.0903",""
"Jarvis Algorithm Random","8840","0.0783",""
"Jarvis Algorithm Random","8850","0.1005",""
"Jarvis Algorithm Random","8860","0.1259",""
"Jarvis Algorithm Random","8870","0.127",""
"Jarvis Algorithm Random","8880","0.0992",""
"Jarvis Algorithm Random","8890","0.0912",""
"Jarvis Algorithm Random","8900","0.1129",""
"Jarvis Algorithm Random","8910","0.1498",""
"Jarvis Algorithm Random","8920","0.1085",""
"Jarvis Algorithm Random","8930","0.1182",""
"Jarvis Algorithm Random","8940","0.1291",""
"Jarvis Algorithm Random","8950","0.1422",""
"Jarvis Algorithm Random","8960","0.1684",""
"Jarvis Algorithm Random","8970","0.1213",""
"Jarvis Algorithm Random","8980","0.1563",""
"Jarvis Algorithm Random","8990","0.1441",""
"Jarvis Algorithm Random","9000","0.125",""
"Jarvis Algorithm Random","9010","0.1282",""
"Jarvis Algorithm Random","9020","0.2175",""
"Jarvis Algorithm Random","9030","0.7641",""
"Jarvis Algorithm Random","9040","0.3393",""
"Jarvis Algorithm Random","9050","0.2411",""
"Jarvis Algorithm Random","9060","0.3285",""
"Jarvis Algorithm Random","9070","0.139",""
"Jarvis Algorithm Random","9080","0.1539",""
"Jarvis Algorithm Random","9090","0.1169",""
"Jarvis Algorithm Random","9100","0.1058",""
"Jarvis Algorithm Random","9110","0.1362",""
"Jarvis Algorithm Random","9120","0.1173",""
"Jarvis Algorithm Random","9130","0.1236",""
"Jarvis Algorithm Random","9140","0.1314",""
"Jarvis Algorithm Random","9150","0.1623",""
"Jarvis Algorithm Random","9160","0.1613",""
"Jarvis Algorithm Random","9170","0.1275",""
"Jarvis Algorithm Random","9180","0.135",""
"Jarvis Algorithm Random","9190","0.1351",""
"Jarvis Algorithm Random","9200","0.147",""
"Jarvis Algorithm Random","9210","0.121",""
"Jarvis Algorithm Random","9220","0.1673",""
"Jarvis Algorithm Random","9230","0.1199",""
"Jarvis Algorithm Random","9240","0.1568",""
"Jarvis Algorithm Random","9250","0.1318",""
"Jarvis Algorithm Random","9260","0.1476",""
"Jarvis Algorithm Random","9270","0.1782",""
"Jarvis Algorithm Random","9280","0.142",""
"Jarvis Algorithm Random","9290","0.0962",""
"Jarvis Algorithm Random","9300","0.1401",""
"Jarvis Algorithm Random","9310","0.1426",""
"Jarvis Algorithm Random","9320","0.099",""
"Jarvis Algorithm Random","9330","0.0938",""
"Jarvis Algorithm Random","9340","0.1346",""
"Jarvis Algorithm Random","9350","0.1278",""
"Jarvis Algorithm Random","9360","0.1202",""
"Jarvis Algorithm Random","9370","0.2736",""
"Jarvis Algorithm Random","9380","0.1492",""
"Jarvis Algorithm Random","9390","0.2067",""
"Jarvis Algorithm Random","9400","0.2407",""
"Jarvis Algorithm Random","9410","0.2359",""
"Jarvis Algorithm Random","9420","0.1786",""
"Jarvis Algorithm Random","9430","0.1009",""
"Jarvis Algorithm Random","9440","0.119",""
"Jarvis Algorithm Random","9450","0.1495",""
"Jarvis Algorithm Random","9460","0.1594",""
"Jarvis Algorithm Random","9470","0.104",""
"Jarvis Algorithm Random","9480","0.1097",""
"Jarvis Algorithm Random","9490","0.1226",""
"Jarvis Algorithm Random","9500","0.2353",""
"Jarvis Algorithm Random","9510","0.1331",""
"Jarvis Algorithm Random","9520","0.1168",""
"Jarvis Algorithm Random","9530","0.3564",""
"Jarvis Algorithm Random","9540","0.3974",""
"Jarvis Algorithm Random","9550","0.2048",""
"Jarvis Algorithm Random","9560","0.211",""
"Jarvis Algorithm Random","9570","0.1301",""
"Jarvis Algorithm Random","9580","0.129",""
"Jarvis Algorithm Random","9590","0.1548",""
"Jarvis Algorithm Random","9600","0.1389",""
"Jarvis Algorithm Random","9610","0.1191",""
"Jarvis Algorithm Random","9620","0.1236",""
"Jarvis Algorithm Random","9630","0.192",""
"Jarvis Algorithm Random","9640","0.1247",""
"Jarvis Algorithm Random","9650","0.1093",""
"Jarvis Algorithm Random","9660","0.1219",""
"Jarvis Algorithm Random","9670","0.146",""
"Jarvis Algorithm Random","9680","0.1355",""
"Jarvis Algorithm Random","9690","0.1245",""
"Jarvis Algorithm Random","9700","0.1172",""
"Jarvis Algorithm Random","9710","0.1631",""
"Jarvis Algorithm Random","9720","0.1879",""
"Jarvis Algorithm Random","9730","0.1169",""
"Jarvis Algorithm Random","9740","0.1515",""
"Jarvis Algorithm Random","9750","0.1385",""
"Jarvis Algorithm Random","9760","0.0939",""
"Jarvis Algorithm Random","9770","0.1209",""
"Jarvis Algorithm Random","9780","0.1491",""
"Jarvis Algorithm Random","9790","0.1139",""
"Jarvis Algorithm Random","9800","0.1468",""
"Jarvis Algorithm Random","9810","0.1255",""
"Jarvis Algorithm Random","9820","0.1362",""
"Jarvis Algorithm Random","9830","0.1169",""
"Jarvis Algorithm Random","9840","0.1206",""
"Jarvis Algorithm Random","9850","0.1264",""
"Jarvis Algorithm Random","9860","0.1659",""
"Jarvis Algorithm Random","9870","0.1269",""
"Jarvis Algorithm Random","9880","0.1143",""
"Jarvis Algorithm Random","9890","0.1141",""
"Jarvis Algorithm Random","9900","0.1409",""
"Jarvis Algorithm Random","9910","0.1438",""
"Jarvis Algorithm Random","9920","0.1551",""
"Jarvis Algorithm Random","9930","0.1288",""
"Jarvis Algorithm Random","9940","0.1325",""
"Jarvis Algorithm Random","9950","0.1456",""
"Jarvis Algorithm Random","9960","0.1394",""
"Jarvis Algorithm Random","9970","0.1104",""
"Jarvis Algorithm Random","9980","0.1034",""
"Jarvis Algorithm Random","9990","0.1422",""
"Jarvis Algorithm Random","10000","0.1287",""
"Jarvis Algorithm Random","10010","0.1279",""
"Jarvis Algorithm Random","10020","0.1445",""
"Jarvis Algorithm Random","10030","0.1066",""
"Jarvis Algorithm Random","10040","0.1028",""
"Jarvis Algorithm Random","10050","0.0807",""
"Jarvis Algorithm Random","10060","0.1224",""
"Jarvis Algorithm Random","10070","0.1336",""
"Jarvis Algorithm Random","10080","0.1179",""
"Jarvis Algorithm Random","10090","0.1368",""
"Jarvis Algorithm Random","10100","0.152",""
"Jarvis Algorithm Random","10110","0.1311",""
"Jarvis Algorithm Random","10120","0.1289",""
"Jarvis Algorithm Random","10130","0.0997",""
"Jarvis Algorithm Random","10140","0.116",""
"Jarvis Algorithm Random","10150","0.3242",""
"Jarvis Algorithm Random","10160","0.1209",""
"Jarvis Algorithm Random","10170","0.1554",""
"Jarvis Algorithm Random","10180","0.122",""
"Jarvis Algorithm Random","10190","0.1209",""
"Jarvis Algorithm Random","10200","0.1428",""
"Jarvis Algorithm Random","10210","0.1478",""
"Jarvis Algorithm Random","10220","0.0965",""
"Jarvis Algorithm Random","10230","0.1361",""
"Jarvis Algorithm Random","10240","0.1159",""
"Jarvis Algorithm Random","10250","0.1358",""
"Jarvis Algorithm Random","10260","0.1304",""
"Jarvis Algorithm Random","10270","0.1218",""
"Jarvis Algorithm Random","10280","0.1446",""
"Jarvis Algorithm Random","10290","0.1871",""
"Jarvis Algorithm Random","10300","0.207",""
"Jarvis Algorithm Random","10310","0.1775",""
"Jarvis Algorithm Random","10320","0.1615",""
"Jarvis Algorithm Random","10330","0.1556",""
"Jarvis Algorithm Random","10340","0.1511",""
"Jarvis Algorithm Random","10350","0.1076",""
"Jarvis Algorithm Random","10360","0.1256",""
"Jarvis Algorithm Random","10370","0.133",""
"Jarvis Algorithm Random","10380","0.1315",""
"Jarvis Algorithm Random","10390","0.1504",""
"Jarvis Algorithm Random","10400","0.1098",""
"Jarvis Algorithm Random","10410","0.1515",""
"Jarvis Algorithm Random","10420","0.155",""
"Jarvis Algorithm Random","10430","0.1349",""
"Jarvis Algorithm Random","10440","0.1184",""
"Jarvis Algorithm Random","10450","0.1017",""
"Jarvis Algorithm Random","10460","0.1423",""
"Jarvis Algorithm Random","10470","0.1243",""
"Jarvis Algorithm Random","10480","0.1384",""
"Jarvis Algorithm Random","10490","0.1589",""
"Jarvis Algorithm Random","10500","0.1285",""
"Jarvis Algorithm Random","10510","0.1045",""
"Jarvis Algorithm Random","10520","0.121",""
"Jarvis Algorithm Random","10530","0.1408",""
"Jarvis Algorithm Random","10540","0.1603",""
"Jarvis Algorithm Random","10550","0.1686",""
"Jarvis Algorithm Random","10560","0.1224",""
"Jarvis Algorithm Random","10570","0.1228",""
"Jarvis Algorithm Random","10580","0.1535",""
"Jarvis Algorithm Random","10590","0.1114",""
"Jarvis Algorithm Random","10600","0.1554",""
"Jarvis Algorithm Random","10610","0.129",""
"Jarvis Algorithm Random","10620","0.1463",""
"Jarvis Algorithm Random","10630","0.1583",""
"Jarvis Algorithm Random","10640","0.1303",""
"Jarvis Algorithm Random","10650","0.1168",""
"Jarvis Algorithm Random","10660","0.1132",""
"Jarvis Algorithm Random","10670","0.1489",""
"Jarvis Algorithm Random","10680","0.1756",""
"Jarvis Algorithm Random","10690","0.1413",""
"Jarvis Algorithm Random","10700","0.1647",""
"Jarvis Algorithm Random","10710","0.1403",""
"Jarvis Algorithm Random","10720","0.1493",""
"Jarvis Algorithm Random","10730","0.1378",""
"Jarvis Algorithm Random","10740","0.1448",""
"Jarvis Algorithm Random","10750","0.1392",""
"Jarvis Algorithm Random","10760","0.1401",""
"Jarvis Algorithm Random","10770","0.1623",""
"Jarvis Algorithm Random","10780","0.1105",""
"Jarvis Algorithm Random","10790","0.1639",""
"Jarvis Algorithm Random","10800","0.1117",""
"Jarvis Algorithm Random","10810","0.1339",""
"Jarvis Algorithm Random","10820","0.1877",""
"Jarvis Algorithm Random","10830","0.1734",""
"Jarvis Algorithm Random","10840","0.1643",""
"Jarvis Algorithm Random","10850","0.1396",""
"Jarvis Algorithm Random","10860","0.1704",""
"Jarvis Algorithm Random","10870","0.1408",""
"Jarvis Algorithm Random","10880","0.1306",""
"Jarvis Algorithm Random","10890","0.0955",""
"Jarvis Algorithm Random","10900","0.1325",""
"Jarvis Algorithm Random","10910","0.14",""
"Jarvis Algorithm Random","10920","0.1537",""
"Jarvis Algorithm Random","10930","0.1524",""
"Jarvis Algorithm Random","10940","0.1342",""
"Jarvis Algorithm Random","10950","0.122",""
"Jarvis Algorithm Random","10960","0.1242",""
"Jarvis Algorithm Random","10970","0.1513",""
"Jarvis Algorithm Random","10980","0.1423",""
"Jarvis Algorithm Random","10990","0.1366",""
"Jarvis Algorithm Random","11000","0.129",""
"Jarvis Algorithm Random","11010","0.1452",""
"Jarvis Algorithm Random","11020","0.1531",""
"Jarvis Algorithm Random","11030","0.1549",""
"Jarvis Algorithm Random","11040","0.136",""
"Jarvis Algorithm Random","11050","0.1253",""
"Jarvis Algorithm Random","11060","0.1744",""
"Jarvis Algorithm Random","11070","0.1202",""
"Jarvis Algorithm Random","11080","0.1404",""
"Jarvis Algorithm Random","11090","0.1233",""
"Jarvis Algorithm Random","11100","0.1539",""
"Jarvis Algorithm Random","11110","0.1835",""
"Jarvis Algorithm Random","11120","0.1474",""
"Jarvis Algorithm Random","11130","0.1531",""
"Jarvis Algorithm Random","11140","0.1432",""
"Jarvis Algorithm Random","11150","0.1495",""
"Jarvis Algorithm Random","11160","0.1121",""
"Jarvis Algorithm Random","11170","0.1556",""
"Jarvis Algorithm Random","11180","0.1183",""
"Jarvis Algorithm Random","11190","0.1775",""
"Jarvis Algorithm Random","11200","0.1602",""
"Jarvis Algorithm Random","11210","0.1622",""
"Jarvis Algorithm Random","11220","0.1905",""
"Jarvis Algorithm Random","11230","0.1538",""
"Jarvis Algorithm Random","11240","0.1554",""
"Jarvis Algorithm Random","11250","0.1358",""
"Jarvis Algorithm Random","11260","0.1196",""
"Jarvis Algorithm Random","11270","0.135",""
"Jarvis Algorithm Random","11280","0.1381",""
"Jarvis Algorithm Random","11290","0.1397",""
"Jarvis Algorithm Random","11300","0.1649",""
"Jarvis Algorithm Random","11310","0.1417",""
"Jarvis Algorithm Random","11320","0.1526",""
"Jarvis Algorithm Random","11330","0.1131",""
"Jarvis Algorithm Random","11340","0.1126",""
"Jarvis Algorithm Random","11350","0.181",""
"Jarvis Algorithm Random","11360","0.1411",""
"Jarvis Algorithm Random","11370","0.1664",""
"Jarvis Algorithm Random","11380","0.1495",""
"Jarvis Algorithm Random","11390","0.1428",""
"Jarvis Algorithm Random","11400","0.1197",""
"Jarvis Algorithm Random","11410","0.1528",""
"Jarvis Algorithm Random","11420","0.1204",""
"Jarvis Algorithm Random","11430","0.1401",""
"Jarvis Algorithm Random","11440","0.1559",""
"Jarvis Algorithm Random","11450","0.1902",""
"Jarvis Algorithm Random","11460","0.1412",""
"Jarvis Algorithm Random","11470","0.1271",""
"Jarvis Algorithm Random","11480","0.1672",""
"Jarvis Algorithm Random","11490","0.1171",""
"Jarvis Algorithm Random","11500","0.2303",""
"Jarvis Algorithm Random","11510","0.1345",""
"Jarvis Algorithm Random","11520","0.1451",""
"Jarvis Algorithm Random","11530","0.1724",""
"Jarvis Algorithm Random","11540","0.1674",""
"Jarvis Algorithm Random","11550","0.1131",""
"Jarvis Algorithm Random","11560","0.1672",""
"Jarvis Algorithm Random","11570","0.1443",""
"Jarvis Algorithm Random","11580","0.1368",""
"Jarvis Algorithm Random","11590","0.1592",""
"Jarvis Algorithm Random","11600","0.1039",""
"Jarvis Algorithm Random","11610","0.1426",""
"Jarvis Algorithm Random","11620","0.1538",""
"Jarvis Algorithm Random","11630","0.1545",""
"Jarvis Algorithm Random","11640","0.1498",""
"Jarvis Algorithm Random","11650","0.1543",""
"Jarvis Algorithm Random","11660","0.1406",""
"Jarvis Algorithm Random","11670","0.1556",""
"Jarvis Algorithm Random","11680","0.1777",""
"Jarvis Algorithm Random","11690","0.1361",""
"Jarvis Algorithm Random","11700","0.1331",""
"Jarvis Algorithm Random","11710","0.1619",""
"Jarvis Algorithm Random","11720","0.1781",""
"Jarvis Algorithm Random","11730","0.1401",""
"Jarvis Algorithm Random","11740","0.1445",""
"Jarvis Algorithm Random","11750","0.1271",""
"Jarvis Algorithm Random","11760","0.1499",""
"Jarvis Algorithm Random","11770","0.1538",""
"Jarvis Algorithm Random","11780","0.1658",""
"Jarvis Algorithm Random","11790","0.1077",""
"Jarvis Algorithm Random","11800","0.2063",""
"Jarvis Algorithm Random","11810","0.1388",""
"Jarvis Algorithm Random","11820","0.159",""
"Jarvis Algorithm Random","11830","0.1823",""
"Jarvis Algorithm Random","11840","0.1403",""
"Jarvis Algorithm Random","11850","0.1241",""
"Jarvis Algorithm Random","11860","0.1729",""
"Jarvis Algorithm Random","11870","0.1566",""
"Jarvis Algorithm Random","11880","0.1616",""
"Jarvis Algorithm Random","11890","0.1812",""
"Jarvis Algorithm Random","11900","0.1413",""
"Jarvis Algorithm Random","11910","0.129",""
"Jarvis Algorithm Random","11920","0.1506",""
"Jarvis Algorithm Random","11930","0.1355",""
"Jarvis Algorithm Random","11940","0.1637",""
"Jarvis Algorithm Random","11950","0.1008",""
"Jarvis Algorithm Random","11960","0.1278",""
"Jarvis Algorithm Random","11970","0.1591",""
"Jarvis Algorithm Random","11980","0.119",""
"Jarvis Algorithm Random","11990","0.1822",""
"Jarvis Algorithm Random","12000","0.2112",""
"Jarvis Algorithm Random","12010","0.1653",""
"Jarvis Algorithm Random","12020","0.1639",""
"Jarvis Algorithm Random","12030","0.1689",""
"Jarvis Algorithm Random","12040","0.1309",""
"Jarvis Algorithm Random","12050","0.1988",""
"Jarvis Algorithm Random","12060","0.1805",""
"Jarvis Algorithm Random","12070","0.1693",""
"Jarvis Algorithm Random","12080","0.206",""
"Jarvis Algorithm Random","12090","0.3048",""
"Jarvis Algorithm Random","12100","0.3508",""
"Jarvis Algorithm Random","12110","0.197",""
"Jarvis Algorithm Random","12120","0.1515",""
"Jarvis Algorithm Random","12130","0.1354",""
"Jarvis Algorithm Random","12140","0.1845",""
"Jarvis Algorithm Random","12150","0.1367",""
"Jarvis Algorithm Random","12160","0.1896",""
"Jarvis Algorithm Random","12170","0.1819",""
"Jarvis Algorithm Random","12180","0.1568",""
"Jarvis Algorithm Random","12190","0.1552",""
"Jarvis Algorithm Random","12200","0.141",""
"Jarvis Algorithm Random","12210","0.155",""
"Jarvis Algorithm Random","12220","0.1558",""
"Jarvis Algorithm Random","12230","0.1413",""
"Jarvis Algorithm Random","12240","0.1297",""
"Jarvis Algorithm Random","12250","0.233",""
"Jarvis Algorithm Random","12260","0.2471",""
"Jarvis Algorithm Random","12270","0.2507",""
"Jarvis Algorithm Random","12280","0.3001",""
"Jarvis Algorithm Random","12290","0.2609",""
